`item_nr,stimulus_untrimmed,stimulus,flanker_type,lexicality,condition,target
1, lent ,lent,no,word,word/no,lent
2,ment drap ment,ment drap ment,unrelated,word,word/unrelated,drap
3,sabe cofi sabe,sabe cofi sabe,unrelated,nonword,nonword/unrelated,cofi
4,uise uise uise,uise uise uise,related,nonword,nonword/related,uise
5,dire dire dire,dire dire dire,related,word,word/related,dire
6,flin uter flin,flin uter flin,unrelated,nonword,nonword/unrelated,uter
7,deux deux deux,deux deux deux,related,word,word/related,deux
8, oeuf ,oeuf,no,word,word/no,oeuf
9,amer amer amer,amer amer amer,related,word,word/related,amer
10,momb rers momb,momb rers momb,unrelated,nonword,nonword/unrelated,rers
11,juss fabe juss,juss fabe juss,unrelated,nonword,nonword/unrelated,fabe
12,vice dodo vice,vice dodo vice,unrelated,word,word/unrelated,dodo
13,hime hime hime,hime hime hime,related,nonword,nonword/related,hime
14,jive jive jive,jive jive jive,related,nonword,nonword/related,jive
15,glur vece glur,glur vece glur,unrelated,nonword,nonword/unrelated,vece
16, rici ,rici,no,nonword,nonword/no,rici
17,cube cube cube,cube cube cube,related,word,word/related,cube
18,bame pluo bame,bame pluo bame,unrelated,nonword,nonword/unrelated,pluo
19,rame foin rame,rame foin rame,unrelated,word,word/unrelated,foin
20,rond juge rond,rond juge rond,unrelated,word,word/unrelated,juge
21,lube lube lube,lube lube lube,related,nonword,nonword/related,lube
22,flar flar flar,flar flar flar,related,nonword,nonword/related,flar
23,pote hall pote,pote hall pote,unrelated,word,word/unrelated,hall
24,posi posi posi,posi posi posi,related,nonword,nonword/related,posi
25,drac mexe drac,drac mexe drac,unrelated,nonword,nonword/unrelated,mexe
26,flan ivre flan,flan ivre flan,unrelated,word,word/unrelated,ivre
27, afmi ,afmi,no,nonword,nonword/no,afmi
28,aste imci aste,aste imci aste,unrelated,nonword,nonword/unrelated,imci
29, gois ,gois,no,nonword,nonword/no,gois
30,ucun iers ucun,ucun iers ucun,unrelated,nonword,nonword/unrelated,iers
31,cent cent cent,cent cent cent,related,word,word/related,cent
32,sexy lait sexy,sexy lait sexy,unrelated,word,word/unrelated,lait
33, pluc ,pluc,no,nonword,nonword/no,pluc
34,jage jage jage,jage jage jage,related,nonword,nonword/related,jage
35, groi ,groi,no,nonword,nonword/no,groi
36,sait jeux sait,sait jeux sait,unrelated,word,word/unrelated,jeux
37,baie baie baie,baie baie baie,related,word,word/related,baie
38, onde ,onde,no,word,word/no,onde
39,voix grue voix,voix grue voix,unrelated,word,word/unrelated,grue
40,zors zors zors,zors zors zors,related,nonword,nonword/related,zors
41,idem jury idem,idem jury idem,unrelated,word,word/unrelated,jury
42, mime ,mime,no,word,word/no,mime
43,bral bral bral,bral bral bral,related,nonword,nonword/related,bral
44,cave cave cave,cave cave cave,related,word,word/related,cave
45,carc carc carc,carc carc carc,related,nonword,nonword/related,carc
46,brir brir brir,brir brir brir,related,nonword,nonword/related,brir
47, uage ,uage,no,nonword,nonword/no,uage
48, pain ,pain,no,word,word/no,pain
49, tion ,tion,no,nonword,nonword/no,tion
50,flot gage flot,flot gage flot,unrelated,word,word/unrelated,gage
51,bobo bobo bobo,bobo bobo bobo,related,word,word/related,bobo
